Enable Forum Statistic, Enable Forum Statistic
Enable Forum Whoisonline Block, Enable Forum Whoisonline Block
Something went wrong while deleting the forum., Something went wrong while deleting the forum.
You successfully delete forum, You successfully delete forum
Total %1 topic(s) deleted, Total %1 topic(s) deleted
Total %1 post(s) deleted, Total %1 post(s) deleted
Something went wrong while deleting the topic., Something went wrong while deleting the topic.
You successfully delete topic, You successfully delete topic
You successfully delete post, You successfully delete post
Something went wrong while deleting the post., Something went wrong while deleting the post.
Total %1 forum(s) deleted, Total %1 forum(s) deleted
Total %1 forum(s) disabled, Total %1 forum(s) disabled
Total %1 topic(s) disabled, Total %1 topic(s) disabled
Total %1 post(s) disabled, Total %1 post(s) disabled
Something went wrong while disabling the forum., Something went wrong while disabling the forum.
Total %1 forum(s) enabled, Total %1 forum(s) enabled
Total %1 topic(s) enabled, Total %1 topic(s) enabled
Total %1 post(s) enabled, Total %1 post(s) enabled
Something went wrong while enabling the forum., Something went wrong while enabling the forum.
Something went wrong while disabling the topic., Something went wrong while disabling the topic.
Something went wrong while enabling the topic., Something went wrong while enabling the topic.
Something went wrong while disabling the post., Something went wrong while disabling the post.
Something went wrong while enabling the post., Something went wrong while enabling the post.
Topic: %1, Topic: %1
My Forum Account, My Forum Account
"width: 100px, .jpg, .png, .gif, .jpeg", "width: 100px, .jpg, .png, .gif, .jpeg"
You succesfully updated your forum settings, You succesfully updated your forum settings
Remove Avatar, Remove Avatar
Search Forum: "%1", Search Forum: "%1"
Search Results for "%1", Search Results for "%1"
Search By Topic, Search By Topic
Search By Post, Search By Post
Search Results, Search Results
Topic: "%1", Topic: "%1"
View Post, View Post
Topic: <strong><a href="%2">%1"</a></strong>, Topic: <strong><a href="%2">%1"</a></strong>
Add to Bookmark, Add to Bookmark
You have <span id="ronald2wing-forum-zero-bookmarks">0</span><a href="javascript:void(0)" onclick="ronald2wingForumBookmarks.goToBookmarkPage()" id="ronald2wing-forum-bookmarks-link"></a> bookmarked items, You have <span id="ronald2wing-forum-zero-bookmarks">0</span><a href="javascript:void(0)" onclick="ronald2wingForumBookmarks.goToBookmarkPage()" id="ronald2wing-forum-bookmarks-link"></a> bookmarked items
Bookmarks, Bookmarks
My Bookmarks, My Bookmarks
Post ID: %1, Post ID: %1
Forum Post with ID: %1, Forum Post with ID: %1
Allow customer delete own topics, Allow customer delete own topics
My Forum Topics, My Forum Topics
My Forum Posts, My Forum Posts
Parent Topic: <strong>"%1"</strong>, Parent Topic: <strong>"%1"</strong>
Posted: <em>%1</em>, Posted: <em>%1</em>
Back to Forum, Back to Forum
Added: <em>%1</em>, Added: <em>%1</em>
Show forum top controls, Show forum top controls
"My forum account, My forum posts, My forum topics", "My forum account, My forum posts, My forum topics"
You have no access to view this forum, You have no access to view this forum
Private Forum, Private Forum
Notify me if someone post on this Topic, Notify me if someone post on this Topic
You are unsubscribed from Topic, You are unsubscribed from Topic
New post were added, New post were added
Added, Added
"To stop receiving notifications for this topic, use this link", "To stop receiving notifications for this topic, use this link"
View Forum User, View Forum User
User Details "%1", User Details "%1"
User Role: <strong>%1</strong>, User Role: <strong>%1</strong>
Total topics: <strong>%1</strong>, Total topics: <strong>%1</strong>
Forum Bookmarks, Forum Bookmarks
"Forum Add / Edit / Topic / Post", "Forum Add / Edit / Topic / Post"
Moderators, Moderators
Manage Moderators, Manage Moderators
Delete Moderator, Delete Moderator
Total %1 moderator(s) deleted, Total %1 moderator(s) deleted
Something went wrong while deleting the moderator, Something went wrong while deleting the moderator
Something went wrong while assign moderator, Something went wrong while assign moderator
Total %1 moderator(s) assigned, Total %1 moderator(s) assigned
You are logged as moderator, You are logged as moderator
Moderator, Moderator
Forum Layout, Forum Layout
Default Meta Data, Default Meta Data
Default Forum Title Tag, Default Forum Title Tag
Default Meta Keywords, Default Meta Keywords
Default Meta Description, Default Meta Description

